Course,,Discipline,,,CGPA,Company [on-campus/ off-campus/PPO],,Profile,,CTC Offered,,Type of Offer,
Dual Degree,,Computer Science and Engineering,,,7.57,Reliance Jio (TS1),,,,18.5,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.72,Reliance Jio (TS1),,,,18.5,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.31,Reliance Jio (TS1),,,,18.5,,On-Campus,
B.Tech,,Computer Science and Engineering,,,9.13,Reliance Jio (TS1),,,,18.5,,On-Campus,
Dual Degree,,Computer Science and Engineering,,,8.3,Salesforce,,,,35.37,,PPO,
B.Tech,,Computer Science and Engineering,,,8.36,Salesforce,,,,35.37,,PPO,
B.Tech,,Computer Science and Engineering,,,8.78,Salesforce,,,,35.37,,PPO,
B.Tech,,Computer Science and Engineering,,,9,Salesforce,,,,35.37,,PPO,
B.Tech,,Computer Science and Engineering,,,8.14,"Samsung Research Institute, Bangalore",,,,20,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.29,"Samsung Research Institute, Bangalore",,Software Developer,,20,,PPO,
B.Tech,,Computer Science and Engineering,,,8.74,"Samsung Research Institute, Bangalore",,,,40,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.92,"Samsung Research Institute, Bangalore",,Software Developer,,20,,PPO,
Dual Degree,,Computer Science and Engineering,,,7.07,"Samsung Research Institute, Noida",,R&D Engineer,,,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.8,Sandvine,,,,18.45,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.59,Sliceit,,,,23,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.63,Sprinklr,,,,18,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.42,Sprinklr,,Product Engineer,,30,,PPO,
B.Tech,,Computer Science and Engineering,,,8.65,Sprinklr,,Product Engineer,,30,,PPO,
B.Tech,,Computer Science and Engineering,,,9.11,Sprinklr,,Product Engineer,,30,,PPO,
B.Tech,,Computer Science and Engineering,,,9.65,Sprinklr,,Product Engineer,,30,,PPO,
B.Tech,,Computer Science and Engineering,,,7.42,Standard Chartered,,,,18.2,,PPO,
B.Tech,,Computer Science and Engineering,,,7.73,Standard Chartered,,,,18.2,,PPO,
B.Tech,,Computer Science and Engineering,,,7.96,Standard Chartered,,,,18.2,,PPO,
B.Tech,,Computer Science and Engineering,,,5.94,Sterlite Technologies LTD,,GET,,16,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.07,Sterlite Technologies LTD,,GET,,16,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.52,Toppr,,,,21,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.59,Walmart,,Software Engineer,,22.62,,PPO,
B.Tech,,Computer Science and Engineering,,,8.96,Walmart,,,,29,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.98,Walmart,,Software Engineer,,22.62,,PPO,
Dual Degree,,Computer Science and Engineering,,,7.26,Wipro Limited,,Project Engineer,,6.5,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.77,Zomato,,,,20,,On-Campus,
B.Tech,,Electrical Engineering,,,8.53,Addverb,,,,14.33,,On-Campus,
B.Tech,,Electrical Engineering,,,8.73,Adobe,,Member of Technical Staff,,14.85,,PPO,
B.Tech,,Electrical Engineering,,,8.04,Amazon India,,,,29.91,,PPO,
B.Tech,,Electrical Engineering,,,9.16,Amazon India,,,,44.1,,On-Campus,
B.Tech,,Electrical Engineering,,,7.5,American Express,,,,19.19,,On-Campus,
B.Tech,,Electrical Engineering,,,8.73,American Express,,Engineer Trainee,,17.67,,Online Event,
B.Tech,,Electrical Engineering,,,8.58,Atlassian,,,,26.57,,On-Campus,
B.Tech,,Electrical Engineering,,,8.81,Atlassian,,,,26.57,,On-Campus,
B.Tech,,Electrical Engineering,,,8.98,Bajaj Auto,,,,14.09,,On-Campus,
B.Tech,,Electrical Engineering,,,6.23,Beehyv,,,,7,,On-Campus,
B.Tech,,Electrical Engineering,,,7.41,Capgemini,,Associate Consultant,,10,,On-Campus,
B.Tech,,Electrical Engineering,,,8.1,Capgemini,,Associate Consultant,,10,,On-Campus,
B.Tech,,Electrical Engineering,,,7.35,Cogoport,,,,14,,On-Campus,
B.Tech,,Electrical Engineering,,,6.18,Field Genie Pvt Ltd,,Management Traniee,,8,,On-Campus,
B.Tech,,Electrical Engineering,,,7.5,Fiserv,,,,15,,On-Campus,
B.Tech,,Electrical Engineering,,,7.55,Fiserv,,,,15,,On-Campus,
B.Tech,,Electrical Engineering,,,7.27,Flipkart,,,,28.58,,On-Campus,
B.Tech,,Electrical Engineering,,,8.17,Flipkart,,,,28.58,,On-Campus,
B.Tech,,Electrical Engineering,,,6.29,Future First,,,,12.4,,On-Campus,
B.Tech,,Electrical Engineering,,,6.04,HCL,,Analytics,,8.5,,On-Campus,
B.Tech,,Electrical Engineering,,,6.3,HCL,,Softwarisation,,8.5,,On-Campus,
B.Tech,,Electrical Engineering,,,6.36,HCL,,Analytics,,8.5,,On-Campus,
B.Tech,,Electrical Engineering,,,6.4,HCL,,Softwarisation,,8.5,,On-Campus,
B.Tech,,Electrical Engineering,,,6.74,HCL,,CDMA Hetran,,8.5,,On-Campus,
B.Tech,,Electrical Engineering,,,7.56,Hitachi Vantara,,,,10,,On-Campus,
B.Tech,,Electrical Engineering,,,8.1,Hitachi Vantara,,,,10,,On-Campus,
B.Tech,,Electrical Engineering,,,7.51,ICICI Bank,,,,16,,On-Campus,
B.Tech,,Electrical Engineering,,,7.77,ICICI Bank,,,,16,,On-Campus,
B.Tech,,Electrical Engineering,,,8.06,ICICI Bank,,,,16,,On-Campus,
B.Tech,,Electrical Engineering,,,8.48,ICICI Bank,,,,16,,On-Campus,
B.Tech,,Electrical Engineering,,,8.59,ICICI Bank,,,,16,,On-Campus,
B.Tech,,Electrical Engineering,,,8.05,Innovaccer,,APM,,12,,On-Campus,
B.Tech,,Electrical Engineering,,,8.14,Innovaccer,,APM,,12,,On-Campus,
B.Tech,,Electrical Engineering,,,7.17,Jaguar Landrover,,,,21.28,,On-Campus,
B.Tech,,Electrical Engineering,,,9.04,Jaguar Landrover,,,,21.28,,On-Campus,
B.Tech,,Electrical Engineering,,,6.45,Medibuddy,,SDE-I,,15,,On-Campus,
B.Tech,,Electrical Engineering,,,8.02,Meesho,,,,37,,On-Campus,
B.Tech,,Electrical Engineering,,,8.59,Meesho,,,,37,,On-Campus,
